metric,row_type,student_group,value,table_id,period,row_type2,row_label_raw,value_num
Percent of Students Meeting IEP Goals in Reading,Baseline,All Students,95%,1,Baseline,percent,Baseline,95
Percent of Students Meeting IEP Goals in Reading,Baseline,Econ Dis ML (1-6d) SWD SWD,94%,1,Baseline,percent,Baseline,94
Percent of Students Meeting IEP Goals in Reading,Baseline,SWD,91%,1,Baseline,percent,Baseline,91
Percent of Students Meeting IEP Goals in Reading,Numerator,All Students,"11,798",1,Baseline,numerator,Numerator,11798
Percent of Students Meeting IEP Goals in Reading,Numerator,Econ Dis ML (1-6d) SWD SWD,"5,610",1,Baseline,numerator,Numerator,5610
Percent of Students Meeting IEP Goals in Reading,Numerator,SWD,"5,162",1,Baseline,numerator,Numerator,5162
Percent of Students Meeting IEP Goals in Reading,Denominator,All Students,"12,402",1,Baseline,denominator,Denominator,12402
Percent of Students Meeting IEP Goals in Reading,Denominator,Econ Dis ML (1-6d) SWD SWD,"5,993",1,Baseline,denominator,Denominator,5993
Percent of Students Meeting IEP Goals in Reading,Denominator,SWD,"5,682",1,Baseline,denominator,Denominator,5682
Percent of Students Meeting IEP Goals in Reading,SY 2023-24,All Students,95%,1,SY 2023-24,percent,SY 2023-24,95
Percent of Students Meeting IEP Goals in Reading,SY 2023-24,Econ Dis ML (1-6d) SWD SWD,94%,1,SY 2023-24,percent,SY 2023-24,94
Percent of Students Meeting IEP Goals in Reading,SY 2023-24,SWD,94%,1,SY 2023-24,percent,SY 2023-24,94
Percent of Students Meeting IEP Goals in Reading,Numerator,All Students,"10,978",1,SY 2023-24,numerator,Numerator,10978
Percent of Students Meeting IEP Goals in Reading,Numerator,Econ Dis ML (1-6d) SWD SWD,"5,172",1,SY 2023-24,numerator,Numerator,5172
Percent of Students Meeting IEP Goals in Reading,Numerator,SWD,"4,895",1,SY 2023-24,numerator,Numerator,4895
Percent of Students Meeting IEP Goals in Reading,Denominator,All Students,"11,546",1,SY 2023-24,denominator,Denominator,11546
Percent of Students Meeting IEP Goals in Reading,Denominator,Econ Dis ML (1-6d) SWD SWD,"5,498",1,SY 2023-24,denominator,Denominator,5498
Percent of Students Meeting IEP Goals in Reading,Denominator,SWD,"5,210",1,SY 2023-24,denominator,Denominator,5210
Percent of Students Meeting IEP Goals in Reading,SY 2024-25,All Students,96%,1,SY 2024-25,percent,SY 2024-25,96
Percent of Students Meeting IEP Goals in Reading,SY 2024-25,Econ Dis ML (1-6d) SWD SWD,95%,1,SY 2024-25,percent,SY 2024-25,95
Percent of Students Meeting IEP Goals in Reading,SY 2024-25,SWD,95%,1,SY 2024-25,percent,SY 2024-25,95
Percent of Students Meeting IEP Goals in Reading,Numerator,All Students,"11,406",1,SY 2024-25,numerator,Numerator,11406
Percent of Students Meeting IEP Goals in Reading,Numerator,Econ Dis ML (1-6d) SWD SWD,"5,303",1,SY 2024-25,numerator,Numerator,5303
Percent of Students Meeting IEP Goals in Reading,Numerator,SWD,"5,337",1,SY 2024-25,numerator,Numerator,5337
Percent of Students Meeting IEP Goals in Reading,Denominator,All Students,"11,918",1,SY 2024-25,denominator,Denominator,11918
Percent of Students Meeting IEP Goals in Reading,Denominator,Econ Dis ML (1-6d) SWD SWD,"5,606",1,SY 2024-25,denominator,Denominator,5606
Percent of Students Meeting IEP Goals in Reading,Denominator,SWD,"5,606",1,SY 2024-25,denominator,Denominator,5606
Percent of Students Meeting IEP Goals in Reading,Target,All Students,Maintain,1,SY 2024-25,other,Target,NA
Percent of Students Meeting IEP Goals in Reading,Target,Econ Dis ML (1-6d) SWD SWD,94%,1,SY 2024-25,other,Target,94
Percent of Students Meeting IEP Goals in Reading,Target,SWD,92%,1,SY 2024-25,other,Target,92
Percent of Students Meeting IEP Goals in Reading,Performance Target,Econ Dis ML (1-6d) SWD SWD,Met,1,NA,target_status,Performance Target,NA
Percent of Students Meeting IEP Goals in Reading,Performance Target,SWD,Target,1,NA,target_status,Performance Target,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,Baseline,Econ Dis ML (1-6d) Asian Black SWD SWD SWD SWD,95%,2,Baseline,percent,Baseline,95
Growth Targets - Percent of Students Meeting IEP Goals in Reading,Baseline,SWD,94%,2,Baseline,percent,Baseline,94
Growth Targets - Percent of Students Meeting IEP Goals in Reading,Baseline,All SWD,94%,2,Baseline,percent,Baseline,94
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2023-24,Econ Dis ML (1-6d) Asian Black SWD SWD SWD SWD,Actual,2,SY 2023-24,percent,SY 2023-24,NA
Growth Targets - Percent of Students Meeting IEP Goals in Reading,SY 2023-24,SWD,95%,2,SY 2023-24,percent,SY 2023-24,95
