raw,row_type,label,blank,All SWD,period
NA,Performance,Performance,NA,NA,NA
Baseline,Baseline,Baseline,,NA,Baseline
Numerator,Numerator,Numerator,,NA,Baseline
Denominator,Denominator,Denominator,,NA,Baseline
SY 2023-24,SY,SY 2023-24,SY,2023-24,SY 2023-24
Numerator,Numerator,Numerator,,NA,SY 2023-24
Denominator,Denominator,Denominator,,NA,SY 2023-24
SY 2024-25,SY,SY 2024-25,SY,2024-25,SY 2024-25
Numerator,Numerator,Numerator,,NA,SY 2024-25
Denominator,Denominator,Denominator,,NA,SY 2024-25
Target,Target,Target,,NA,SY 2024-25
Performance,Performance,Performance,,NA,SY 2024-25
