raw,row_type,label,period,student_group,value,metric
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,All Students,83%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,Econ Dis,73%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,ML (1-4),55%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,SWD,20%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,504 Plan,30%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,Asian,84%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,Black,85%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,Hispanic,67%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,Multiracial,53%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
Baseline 73% 55% 20% 30% 84% 85% 67% 53% 81%,Baseline,Baseline,Baseline,White,81%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,All Students,"4,145",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,Econ Dis,"10,271",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,ML (1-4),"2,533",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,SWD,389,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,504 Plan,606,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,Asian,655,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,Black,"2,404",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,Hispanic,967,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,Multiracial,"2,039",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,271 2,533 389 606 655 2,404 967 2,039 671",Numerator,Numerator,Baseline,White,671,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,All Students,"4,993",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,Econ Dis,"13,995",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,ML (1-4),"4,620",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,SWD,"1,958",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,504 Plan,"2,047",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,Asian,782,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,Black,"2,822",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,Hispanic,"1,452",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,Multiracial,"3,839",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,995 4,620 1,958 2,047 782 2,822 1,452 3,839 829",Denominator,Denominator,Baseline,White,829,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,All Students,85%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,Econ Dis,76%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,ML (1-4),61%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,SWD,30%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,504 Plan,37%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,Asian,88%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,Black,87%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,Hispanic,73%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,Multiracial,57%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
SY 2023-24 76% 61% 30% 37% 88% 87% 73% 57% 84%,SY,SY 2023-24,SY 2023-24,White,84%,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,All Students,"4,029",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,Econ Dis,"10,141",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,ML (1-4),"3,190",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,SWD,692,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,504 Plan,736,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,Asian,769,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,Black,"2,272",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,Hispanic,991,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,Multiracial,"2,079",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Numerator 10,141 3,190 692 736 769 2,272 991 2,079 730",Numerator,Numerator,SY 2023-24,White,730,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,All Students,"4,757",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,Econ Dis,"13,274",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,ML (1-4),"5,260",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,SWD,"2,291",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,504 Plan,"1,972",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,Asian,872,Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
"Denominator 13,274 5,260 2,291 1,972 872 2,620 1,351 3,628 868",Denominator,Denominator,SY 2023-24,Black,"2,620",Percent of Middle School Students who Successfully Complete an Honors Course by the end of 8th Grade
