raw,row_type,label,period,student_group,value,metric
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,All Students,72%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,Econ Dis,59%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,ML (1-6d),59%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,SWD,56%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,504 Plan,76%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,Asian,79%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,Black,69%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,Hispanic,61%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,Multiracial,74%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
Baseline 72% 59% 59% 56% 76% 79% 69% 61% 74% 74%,Baseline,Baseline,Baseline,White,74%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,All Students,"3,428","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,Econ Dis,630,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,ML (1-6d),643,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,SWD,359,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,504 Plan,190,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,Asian,810,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,Black,228,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,Hispanic,575,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,Multiracial,266,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 3,428 630 643 359 190 810 228 575 266 1,537",Numerator,Numerator,Baseline,White,"1,537","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,All Students,"4,745","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,Econ Dis,"1,068","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,ML (1-6d),"1,096","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,SWD,637,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,504 Plan,251,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,Asian,"1,024","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,Black,330,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,Hispanic,938,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,Multiracial,358,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Denominator 4,745 1,068 1,096 637 251 1,024 330 938 358 2,080",Denominator,Denominator,Baseline,White,"2,080","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,All Students,76%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,Econ Dis,67%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,ML (1-6d),62%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,SWD,62%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,504 Plan,79%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,Asian,80%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,Black,77%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,Hispanic,65%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,Multiracial,79%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
SY 2023-24 76% 67% 62% 62% 79% 80% 77% 65% 79% 78%,SY,SY 2023-24,SY 2023-24,White,78%,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 7,748 1,894 1,530 902 499 1,880 566 1,361 625 3,302",Numerator,Numerator,SY 2023-24,All Students,"7,748","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 7,748 1,894 1,530 902 499 1,880 566 1,361 625 3,302",Numerator,Numerator,SY 2023-24,Econ Dis,"1,894","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 7,748 1,894 1,530 902 499 1,880 566 1,361 625 3,302",Numerator,Numerator,SY 2023-24,ML (1-6d),"1,530","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 7,748 1,894 1,530 902 499 1,880 566 1,361 625 3,302",Numerator,Numerator,SY 2023-24,SWD,902,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 7,748 1,894 1,530 902 499 1,880 566 1,361 625 3,302",Numerator,Numerator,SY 2023-24,504 Plan,499,"Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
"Numerator 7,748 1,894 1,530 902 499 1,880 566 1,361 625 3,302",Numerator,Numerator,SY 2023-24,Asian,"1,880","Of the students who attempted a POG/POL, the percent who demonstrated growth on one or more POG Attribute"
